Ticker,lr_accuracy,lr_precision,rf_accuracy,rf_precision
HON,0.647668394,0.646586345,0.601036269,0.618025751
HP,0.670984456,0.664974619,0.619170984,0.608695652
HPE,0.64379085,0.71969697,0.60130719,0.619047619
HPQ,0.62745098,0.63030303,0.607843137,0.617834395
HRB,0.683937824,0.653386454,0.626943005,0.622222222
HRL,0.660621762,0.651785714,0.598445596,0.596491228
HRS,0.624352332,0.645454545,0.588082902,0.621359223
HSIC,0.64507772,0.706806283,0.575129534,0.646067416
HST,0.678756477,0.681818182,0.580310881,0.590425532
HSY,0.634715026,0.632850242,0.588082902,0.595854922
HUM,0.624352332,0.6015625,0.601036269,0.583011583
IBM,0.621761658,0.605633803,0.541450777,0.529411765
ICE,0.683937824,0.677272727,0.632124352,0.618852459
IDXX,0.658031088,0.677165354,0.598445596,0.63562753
IFF,0.642487047,0.647826087,0.57253886,0.60199005
ILMN,0.642487047,0.629955947,0.567357513,0.571428571
INCY,0.629533679,0.581081081,0.567357513,0.525423729
INFO,0.639896373,0.62962963,0.637305699,0.620087336
INTC,0.634715026,0.640186916,0.582901554,0.608695652
INTU,0.68134715,0.693227092,0.626943005,0.643939394
IP,0.676165803,0.698979592,0.606217617,0.628140704
IPG,0.642487047,0.660869565,0.595854922,0.606870229
IPGP,0.663212435,0.663934426,0.606217617,0.630630631
IQV,0.678756477,0.674008811,0.60880829,0.614035088
IR,0.660621762,0.704663212,0.619170984,0.664921466
IRM,0.652849741,0.66367713,0.619170984,0.627118644
ISRG,0.632124352,0.670833333,0.57253886,0.61302682
IT,0.663212435,0.668103448,0.637305699,0.640495868
ITW,0.647668394,0.696428571,0.626943005,0.663934426
IVZ,0.632124352,0.666666667,0.588082902,0.610810811
JBHT,0.683937824,0.673170732,0.593264249,0.578947368
JCI,0.670984456,0.668224299,0.611398964,0.608888889
JEC,0.619170984,0.644444444,0.595854922,0.599078341
JEF,0.629533679,0.632432432,0.619170984,0.611940299
JNJ,0.629533679,0.617924528,0.569948187,0.557939914
JNPR,0.624352332,0.660465116,0.523316062,0.574257426
JPM,0.629533679,0.61038961,0.601036269,0.592592593
JWN,0.603626943,0.585,0.541450777,0.525773196
K,0.655440415,0.672985782,0.595854922,0.625
KEY,0.598445596,0.581818182,0.606217617,0.596059113
KHC,0.614925373,0.556756757,0.6,0.544444444
KIM,0.619170984,0.641304348,0.551813472,0.571428571
KLAC,0.616580311,0.618677043,0.569948187,0.601895735
KMB,0.632124352,0.625,0.577720207,0.583690987
KMI,0.652849741,0.632911392,0.616580311,0.581395349
KMX,0.606217617,0.587155963,0.556994819,0.54185022
KO,0.632124352,0.645502646,0.57253886,0.57079646
KORS,0.67357513,0.678571429,0.606217617,0.620879121
KR,0.686528497,0.701086957,0.619170984,0.608108108
KSS,0.626943005,0.63681592,0.562176166,0.582417582
KSU,0.650259067,0.665048544,0.593264249,0.618556701
L,0.637305699,0.616915423,0.606217617,0.58974359
LB,0.629533679,0.659217877,0.551813472,0.577142857
LEG,0.619170984,0.619834711,0.60880829,0.621621622
LEN,0.658031088,0.649484536,0.619170984,0.604878049
LH,0.619170984,0.616033755,0.601036269,0.59375
LIN,,,,
LKQ,0.655440415,0.681415929,0.60880829,0.629032258
LLL,0.658031088,0.642201835,0.642487047,0.63592233
LLY,0.639896373,0.644549763,0.632124352,0.649484536
LMT,0.660621762,0.704761905,0.621761658,0.65106383
LNC,0.665803109,0.684729064,0.606217617,0.613043478
LNT,0.670984456,0.669456067,0.621761658,0.624
LOW,0.632124352,0.685279188,0.603626943,0.63963964
LRCX,0.647668394,0.641129032,0.593264249,0.605150215
LUV,0.67357513,0.671361502,0.603626943,0.610576923
LYB,0.619170984,0.614349776,0.582901554,0.578723404
M,0.619170984,0.62244898,0.580310881,0.585492228
MA,0.676165803,0.689922481,0.611398964,0.631768953
MAA,0.629533679,0.627615063,0.611398964,0.615384615
MAC,0.652849741,0.653061224,0.598445596,0.602094241
MAR,0.668393782,0.699481865,0.606217617,0.621004566
MAS,0.626943005,0.647058824,0.606217617,0.622641509
MAT,0.655440415,0.659090909,0.603626943,0.603448276
MCD,0.668393782,0.682730924,0.619170984,0.657894737
MCHP,0.64507772,0.630901288,0.57253886,0.576744186
MCK,0.655440415,0.639830508,0.556994819,0.561403509
MCO,0.626943005,0.655462185,0.598445596,0.627530364
MDLZ,0.663212435,0.647959184,0.598445596,0.584615385
MDT,0.616580311,0.645933014,0.590673575,0.618604651
MET,0.632124352,0.647619048,0.593264249,0.603524229
MGM,0.64507772,0.644144144,0.551813472,0.567307692
MHK,0.60880829,0.61965812,0.593264249,0.609649123
MKC,0.658031088,0.668016194,0.619170984,0.642857143
MLM,0.637305699,0.680851064,0.611398964,0.633027523
MMC,0.668393782,0.738916256,0.637305699,0.695852535
MMM,0.621761658,0.633744856,0.606217617,0.627705628
MNST,0.626943005,0.633663366,0.621761658,0.622641509
MO,0.660621762,0.679824561,0.567357513,0.60952381
MOS,0.642487047,0.62,0.616580311,0.591346154
MPC,0.67357513,0.700854701,0.624352332,0.68115942
MRK,0.639896373,0.62254902,0.53626943,0.520833333
MRO,0.632124352,0.631868132,0.60880829,0.590697674
MS,0.629533679,0.636363636,0.593264249,0.60591133
MSCI,0.629533679,0.66122449,0.593264249,0.64573991
MSFT,0.598445596,0.597402597,0.595854922,0.606796117
MSI,0.634715026,0.655,0.601036269,0.611872146
MTB,0.60880829,0.632231405,0.554404145,0.5907173
MTD,0.678756477,0.689655172,0.64507772,0.662337662
MU,0.668393782,0.644549763,0.582901554,0.570707071
MYL,0.652849741,0.654545455,0.601036269,0.603448276
NBL,0.663212435,0.655367232,0.619170984,0.611764706
NCLH,0.60880829,0.591111111,0.551813472,0.546341463
NDAQ,0.683937824,0.688372093,0.569948187,0.580786026
NEE,0.616580311,0.623481781,0.585492228,0.599190283
NEM,0.629533679,0.6,0.601036269,0.561702128
NFLX,0.619170984,0.591346154,0.544041451,0.528072289
NFX,0.665803109,0.672131148,0.655440415,0.656084656
NI,0.652849741,0.698019802,0.577720207,0.626865672
NKE,0.632124352,0.662921348,0.611398964,0.623762376
NKTR,0.637305699,0.645454545,0.585492228,0.608910891
NLSN,0.634715026,0.607142857,0.601036269,0.566210046
NOC,0.655440415,0.68115942,0.624352332,0.656716418
NOV,0.616580311,0.623655914,0.616580311,0.623655914
NRG,0.642487047,0.693641618,0.616580311,0.679245283
NSC,0.616580311,0.612765957,0.601036269,0.599156118
NTAP,0.686528497,0.707920792,0.626943005,0.632034632
NTRS,0.621761658,0.610878661,0.53626943,0.537593985
NUE,0.652849741,0.682051282,0.611398964,0.643979058
NVDA,0.626943005,0.672985782,0.606217617,0.648401826
NWL,0.619170984,0.595555556,0.564766839,0.545833333
NWS,0.632124352,0.614942529,0.611398964,0.598765432
NWSA,0.642487047,0.638190955,0.593264249,0.583333333
O,0.67539267,0.721030043,0.591623037,0.660633484
OKE,0.668393782,0.678733032,0.647668394,0.66359447
OMC,0.683937824,0.699074074,0.606217617,0.634615385
ORCL,0.619170984,0.625,0.590673575,0.6
ORLY,0.678756477,0.689655172,0.621761658,0.648648649
OXY,0.629533679,0.642857143,0.57253886,0.588235294
PAYX,0.650259067,0.630434783,0.593264249,0.584070796
PBCT,0.647668394,0.633027523,0.551813472,0.547945205
PCAR,0.639896373,0.689655172,0.549222798,0.589595376
PCG,0.632124352,0.618644068,0.57253886,0.578947368
PEG,0.665803109,0.673819742,0.593264249,0.628019324
PEP,0.660621762,0.635555556,0.538860104,0.525179856
PFE,0.668393782,0.655,0.588082902,0.582010582
PFG,0.624352332,0.639484979,0.621761658,0.636752137
PG,0.639896373,0.607476636,0.595854922,0.570048309
PGR,0.670984456,0.653225806,0.652849741,0.650655022
PH,0.64507772,0.648888889,0.634715026,0.64
PHM,0.637305699,0.643171806,0.603626943,0.619266055
PKG,0.64507772,0.642570281,0.639896373,0.650655022
PKI,0.683937824,0.694063927,0.650259067,0.669811321
PLD,0.64507772,0.623893805,0.601036269,0.586666667
PM,0.626943005,0.666666667,0.57253886,0.610526316
PNC,0.655440415,0.677419355,0.616580311,0.655
PNR,0.647668394,0.685393258,0.544041451,0.56372549
PNW,0.64507772,0.648888889,0.629533679,0.628691983
PPG,0.639896373,0.633802817,0.590673575,0.584821429
PPL,0.668393782,0.668141593,0.621761658,0.615079365
PRGO,0.624352332,0.633027523,0.580310881,0.587234043
PRU,0.621761658,0.621359223,0.546632124,0.548837209
PSA,0.650259067,0.67804878,0.60880829,0.637681159
PSX,0.668393782,0.684931507,0.603626943,0.627272727
PVH,0.678756477,0.731843575,0.577720207,0.623595506
PWR,0.624352332,0.627192982,0.64507772,0.660194175
PX,0.652849741,0.709302326,0.528497409,0.572289157
PXD,0.647668394,0.63,0.590673575,0.574257426
PYPL,0.641791045,0.645,0.576119403,0.595744681
QCOM,0.619170984,0.614213198,0.575129534,0.566666667
QRVO,0.683937824,0.645933014,0.590673575,0.573099415
RCL,0.699481865,0.68877551,0.590673575,0.579207921
RE,0.663212435,0.666666667,0.613989637,0.624434389
REG,0.626943005,0.646766169,0.606217617,0.616438356
REGN,0.637305699,0.624365482,0.60880829,0.614457831
RF,0.577720207,0.574660633,0.559585492,0.569148936
RHI,0.624352332,0.62,0.588082902,0.58778626
RHT,0.655440415,0.653061224,0.624352332,0.62962963
RJF,0.626943005,0.62173913,0.580310881,0.581896552
RL,0.642487047,0.631067961,0.60880829,0.607329843
RMD,0.668393782,0.675105485,0.626943005,0.641350211
ROK,0.629533679,0.654450262,0.611398964,0.621495327
ROL,0.663212435,0.643478261,0.619170984,0.595330739
ROP,0.647668394,0.676595745,0.619170984,0.669811321
ROST,0.624352332,0.612244898,0.582901554,0.57195572
RSG,0.652849741,0.673640167,0.590673575,0.629955947
RTN,0.660621762,0.649122807,0.639896373,0.623966942
SBAC,0.634715026,0.618421053,0.590673575,0.574297189
SBUX,0.639896373,0.636792453,0.603626943,0.617021277
SCG,0.650259067,0.629807692,0.554404145,0.542288557
SCHW,0.613989637,0.605263158,0.611398964,0.602620087
SEE,0.663212435,0.669565217,0.637305699,0.638211382
SHW,0.601036269,0.590551181,0.593264249,0.586345382
SIVB,0.60880829,0.621848739,0.655440415,0.669642857
SJM,0.668393782,0.647321429,0.603626943,0.585774059
SLB,0.67357513,0.640449438,0.554404145,0.520752688
SLG,0.655440415,0.617647059,0.569948187,0.531914894
SNA,0.670984456,0.690140845,0.606217617,0.62173913
SNPS,0.663212435,0.669322709,0.616580311,0.618374558
SO,0.715025907,0.742574257,0.598445596,0.649717514
SPG,0.676165803,0.670940171,0.590673575,0.602620087
SPGI,0.668393782,0.660944206,0.611398964,0.613733906
SRCL,0.593264249,0.598039216,0.590673575,0.593301435
SRE,0.658031088,0.644067797,0.626943005,0.622807018
STI,0.642487047,0.660287081,0.580310881,0.594713656
STT,0.637305699,0.6492891,0.634715026,0.638392857
STX,0.652849741,0.669387755,0.582901554,0.616666667
STZ,0.60880829,0.60619469,0.601036269,0.609756098
SWK,0.64507772,0.648648649,0.613989637,0.610655738
SWKS,0.652849741,0.653153153,0.624352332,0.637681159
SYF,0.595854922,0.589371981,0.611398964,0.603864734
SYK,0.652849741,0.668181818,0.611398964,0.617886179
SYMC,0.686528497,0.768421053,0.613989637,0.701086957
SYY,0.663212435,0.663507109,0.616580311,0.607594937
T,0.650259067,0.666666667,0.577720207,0.592417062
TAP,0.621761658,0.612565445,0.595854922,0.576036866
TDG,0.626943005,0.634146341,0.598445596,0.598566308
TEL,0.668393782,0.705,0.575129534,0.602678571
TGT,0.676165803,0.666666667,0.582901554,0.569343066
TIF,0.655440415,0.680365297,0.585492228,0.625
TJX,0.632124352,0.623036649,0.616580311,0.613259669
TMK,0.621761658,0.648305085,0.616580311,0.645299145
TMO,0.678756477,0.705882353,0.621761658,0.655
TPR,0.652849741,0.643564356,0.595854922,0.592783505
TRIP,0.616580311,0.592178771,0.57253886,0.544444444
TROW,0.660621762,0.711956522,0.588082902,0.621359223
TRV,0.652849741,0.64628821,0.598445596,0.585820896
TSCO,0.647668394,0.628318584,0.626943005,0.612612613
TSN,0.647668394,0.662162162,0.53626943,0.56561086
TSS,0.634715026,0.635687732,0.577720207,0.600790514
TTWO,0.637305699,0.656862745,0.60880829,0.635897436
TWTR,0.652849741,0.648351648,0.575129534,0.568965517
TXN,0.621761658,0.616326531,0.601036269,0.605150215
TXT,0.642487047,0.610655738,0.567357513,0.550200803
UA,0.656370656,0.587155963,0.586872587,0.524587156
UAA,0.590673575,0.56284153,0.567357513,0.538043478
UAL,0.650259067,0.677248677,0.601036269,0.627659574
UDR,0.676165803,0.695238095,0.629533679,0.640350877
UHS,0.637305699,0.603238866,0.593264249,0.5625
ULTA,0.626943005,0.653153153,0.585492228,0.621495327
UNH,0.624352332,0.603921569,0.57253886,0.565737052
UNM,0.621761658,0.629464286,0.60880829,0.615720524
UNP,0.64507772,0.686390533,0.580310881,0.595959596
UPS,0.68134715,0.72195122,0.634715026,0.67804878
URI,0.616580311,0.631111111,0.606217617,0.627906977
USB,0.616580311,0.626126126,0.613989637,0.63546798
UTX,0.611398964,0.656084656,0.611398964,0.683229814
V,0.629533679,0.633587786,0.593264249,0.603703704
VAR,0.647668394,0.65,0.647668394,0.641732283
VFC,0.655440415,0.686486486,0.629533679,0.646766169
VIAB,0.670984456,0.670212766,0.616580311,0.635220126
VLO,0.676165803,0.701421801,0.619170984,0.624505929
VMC,0.658031088,0.684782609,0.598445596,0.617801047
VNO,0.670984456,0.612149533,0.564766839,0.524644351
VRSK,0.652849741,0.645038168,0.562176166,0.578544061
VRSN,0.624352332,0.645283019,0.588082902,0.628571429
VRTX,0.647668394,0.653465347,0.595854922,0.602941176
VTR,0.64507772,0.653679654,0.619170984,0.623481781
VZ,0.642487047,0.673684211,0.577720207,0.612021858
WAT,0.663212435,0.666666667,0.601036269,0.617021277
WBA,0.658031088,0.651960784,0.611398964,0.599099099
WCG,0.642487047,0.614035088,0.603626943,0.574898785
WDC,0.655440415,0.65,0.559585492,0.558375635
WEC,0.689119171,0.699570815,0.64507772,0.6484375
WELL,0.665803109,0.680751174,0.626943005,0.625
WFC,0.660621762,0.638497653,0.562176166,0.554973822
WHR,0.647668394,0.670050761,0.632124352,0.653266332
WLTW,0.612676056,0.584210526,0.577464789,0.555555556
WM,0.642487047,0.659919028,0.601036269,0.628571429
WMB,0.663212435,0.666666667,0.632124352,0.620879121
WMT,0.603626943,0.601941748,0.57253886,0.557251908
WRK,0.612426036,0.606741573,0.606508876,0.597826087
WU,0.652849741,0.666666667,0.588082902,0.585492228
WY,0.621761658,0.688622754,0.554404145,0.619354839
WYNN,0.655440415,0.651933702,0.601036269,0.623188406
XEC,0.639896373,0.636363636,0.585492228,0.581521739
XEL,0.676165803,0.67768595,0.626943005,0.632411067
XLNX,0.603626943,0.623931624,0.556994819,0.596153846
XOM,0.647668394,0.659685864,0.613989637,0.616504854
XRAY,0.655440415,0.651785714,0.590673575,0.61025641
XRX,0.619170984,0.668711656,0.611398964,0.652941176
XYL,0.663212435,0.685,0.601036269,0.625
YUM,0.655440415,0.647826087,0.603626943,0.610091743
ZBH,0.639896373,0.692708333,0.621761658,0.65437788
ZION,0.621761658,0.609561753,0.580310881,0.582978723
ZTS,0.642487047,0.665137615,0.637305699,0.64957265
